ID,Name,School_ID,School,Division,Fr_PR,So_PR,Jr_PR,Sr_PR,Grad_Yr
10795088,Greg Matzelle,20661,Binghamton,America East,11.1,10.71,10.54,10.74,2021
10879455,Cravont Charleston,21190,North Carolina State,Atlantic Coast (ACC),10.07,10.21,10.13,10.1,2021
10801601,Tyson Spears,20903,Georgia Tech,Atlantic Coast (ACC),10.45,10.73,10.62,10.58,2021
10879340,Jackson Webb,21232,Oklahoma,Big 12,10.48,10.42,10.41,10.03,2021
10880455,Maxwell Willis,20641,Baylor,Big 12,10.03,10.12,10.34,10.39,2021
10945312,Jace Comick,21453,Texas A&amp;M,Big 12,10.3,10.24,10.3,10.48,2021
10880452,Ian Braxton,20641,Baylor,Big 12,10.5,10.58,10.63,10.82,2021
8987674,Jonah Mathews,20848,Eastern Washington,Big Sky,10.74,10.73,10.58,10.52,2021
10882521,Cory Mullanix,20965,Idaho State,Big Sky,10.57,10.74,10.65,10.85,2021
11010493,Kent Harris,21044,Long Beach State,Big West,10.53,10.4,10.59,10.87,2021
11102468,Chineme Allison,20694,Cal Poly SLO,Big West,10.73,10.81,10.77,10.92,2021
12898955,Seth Enochs,21486,UC Irvine,Big West,11.58,11.2,11.16,11.04,2021
12837561,Chris Howard,21489,UC Santa Barbara,Big West,11.14,11.05,10.88,11.11,2021
10918552,Naukym Morton,21203,Northeastern,Colonial (CAA),10.8,10.41,10.8,11.13,2021
10796491,Michael Papper,21054,Loyola-Chicago,Horizon,11.3,11.28,11.46,11.1,2021
10808734,Gerom Solis,20978,Iona,Metro Atlantic (MAAC),11.06,11.08,11.02,11.56,2021
10861323,Malik Hudson,20584,Akron,Mid-American (MAC),10.98,11.05,11.2,11.38,2021
10873583,Timothy Ashley,20872,Florida A&amp;M,Mid-Eastern (MEAC),11.09,11.07,10.69,10.86,2021
14386935,Jacoby McNamara,21242,Oregon,PAC-12,11.12,10.94,11.06,10.42,2021
12541049,Kedrin Jefferson,20622,Army,Patriot,10.55,10.62,10.8,11.08,2021
