,ID,Name,School_ID,School,Division,Fr_PR,So_PR,Jr_PR,Sr_PR,Grad_Yr
0,10805142,Justice Henderson,20955,Houston,American,11.78,11.81,11.78,11.81,2021
1,10889719,Chelsea Francis,21377,Southern Methodist,American,11.34,11.42,11.3,12.02,2021
2,5029205,Samiyah Samuels,20955,Houston,American,11.74,11.72,11.58,12.17,2021
3,10798082,Aliyah Stokes,21407,St Joseph's (PA),Atlantic 10,12.34,12.76,12.43,12.58,2021
4,10859710,Rebekah Smith,20751,Clemson,Atlantic Coast (ACC),11.29,11.22,11.27,11.28,2021
5,10804994,Jedah Caldwell,20996,Kansas,Big 12,11.66,11.81,11.92,11.78,2021
6,10804300,Madison Marko,21072,Marquette,Big East,12.48,12.51,12.32,12.07,2021
7,8150423,Emily Morgan-King,21533,Weber State,Big Sky,11.95,12.0,11.51,11.72,2021
8,10893734,Naiah Boardingham,20790,CS Fullerton,Big West,12.26,11.99,12.41,12.1,2021
9,12821145,Kathleen Bufka,21485,UC Davis,Big West,12.74,12.68,12.9,12.51,2021
10,10794771,Jaliyah Elliott,21602,Youngstown State,Horizon,11.6,11.7,11.57,11.52,2021
11,10789144,Bryeana Byrdsong,20637,Ball State,Mid-American (MAC),11.94,11.71,11.51,11.75,2021
12,10796453,Brittni Mason,20844,Eastern Michigan,Mid-American (MAC),11.87,11.97,11.8,12.09,2021
13,10877740,Jordyn Tucker,21526,Washington State,PAC-12,12.1,12.01,11.85,11.95,2021
14,9015488,Maia McCoy,21448,Tennessee,Southeastern (SEC),11.77,11.68,11.25,11.23,2021
15,10801883,Ajah Criner,20715,Central Arkansas,Southland (SLC),11.92,12.21,12.02,11.89,2021
16,10855539,Nia Williams,21383,Southern-Baton Rouge,Southwestern (SWAC),12.1,12.12,12.02,12.13,2021
17,10875730,Maya Murphy-Cook,21265,Portland,West Coast (WCC),12.47,12.29,12.59,12.42,2021
18,8997263,Sara Militano,21430,Stony Brook,America East,12.29,12.15,12.37,12.04,2019
19,9102363,Erin Patrice,21079,Maryland-Baltimore County,America East,12.09,12.33,12.12,12.18,2019
20,8997258,Chinque Thompson,21430,Stony Brook,America East,11.76,11.55,11.92,12.24,2019
21,9102368,Kara Patrice,21079,Maryland-Baltimore County,America East,12.24,12.11,12.18,12.29,2019
22,9001525,Jordan Coverson,20668,Boston University,America East,12.59,12.63,12.11,12.62,2019
25,8984942,Chelsea Francis,21367,South Florida,American,11.91,11.68,11.55,11.64,2019
27,8999554,Alex Council,21192,North Carolina-Charlotte,Atlantic 10,11.82,11.58,11.59,11.69,2019
28,8993159,Ariel Mitchell,21012,La Salle,Atlantic 10,12.22,12.27,12.13,11.96,2019
29,8999571,Nyasia Daniels,21192,North Carolina-Charlotte,Atlantic 10,12.18,12.18,12.18,12.02,2019
30,8999556,Cameren Pryor,21192,North Carolina-Charlotte,Atlantic 10,12.17,11.91,12.49,12.16,2019
31,8987538,Mary Kate Kenny,20878,Fordham,Atlantic 10,12.55,12.33,12.51,12.19,2019
33,8993205,Nathaniela Bourdeau,21407,St Joseph's (PA),Atlantic 10,12.19,11.89,12.36,12.75,2019
35,9181258,Gabriele Cunningham,21190,North Carolina State,Atlantic Coast (ACC),11.64,11.26,11.21,11.38,2019
36,9118956,Shauna Helps,20876,Florida State,Atlantic Coast (ACC),11.62,11.26,11.26,11.55,2019
37,9147882,Domonique Panton,20831,Duke,Atlantic Coast (ACC),12.31,11.89,11.95,11.76,2019
38,9127140,Jacquelyn Baldwin,20987,Jacksonville (FL),Atlantic Sun,11.48,11.36,11.81,11.67,2019
39,9108899,Kiana Davis,20839,East Tennessee State,Atlantic Sun,12.05,11.83,12.04,12.19,2019
40,9108904,Starr Graham,20839,East Tennessee State,Atlantic Sun,12.26,12.08,12.54,12.57,2019
41,9152390,Lakayla Harris,21169,Nebraska,Big 10,11.72,11.5,11.45,11.53,2019
42,9109661,Bliss Soleyn,21230,Ohio State,Big 10,11.86,11.67,11.56,11.57,2019
43,9159934,Quashira McIntosh,21169,Nebraska,Big 10,12.02,11.6,11.74,11.95,2019
44,9017332,Briana Driver,20966,Illinois,Big 10,12.13,11.74,11.81,12.07,2019
45,9017370,Emone Davis,20966,Illinois,Big 10,12.45,12.21,12.14,12.08,2019
46,9152377,Chanel Freeman,21169,Nebraska,Big 10,11.74,11.75,12.23,12.12,2019
47,9122821,Teahna Daniels,21452,Texas,Big 12,11.21,11.06,11.11,10.99,2019
48,9027504,Brenessa Thompson,21453,Texas A&amp;M,Big 12,11.31,11.15,11.16,11.22,2019
49,9119105,Tiffani Johnson,21461,Texas Tech,Big 12,11.53,11.44,11.48,11.65,2019
51,8984793,Kyla Lewis,21219,Notre Dame,Big East,11.86,11.87,11.74,11.93,2019
54,9120471,Jasmine Malone,21204,Northern Arizona,Big Sky,11.9,12.06,11.88,11.8,2019
55,9153748,Amari Jones,21314,Sacramento State,Big Sky,11.93,12.03,12.22,12.11,2019
56,9166906,Courtne Davis,21044,Long Beach State,Big West,11.5,11.5,11.3,11.3,2019
57,9197896,Natsumi McGee,21485,UC Davis,Big West,11.7,11.7,11.85,11.78,2019
58,9106268,Alayah Byers,20790,CS Fullerton,Big West,12.17,12.19,12.11,11.84,2019
59,9106290,Hope Bushnell,21486,UC Irvine,Big West,12.19,11.73,11.72,11.88,2019
60,10919624,Madison Golden,21044,Long Beach State,Big West,11.97,11.83,11.92,11.98,2020
61,9889077,Alanna Epps,21489,UC Santa Barbara,Big West,12.5,12.15,12.4,12.33,2019
63,8906679,Brianna Cheeks,21489,UC Santa Barbara,Big West,12.54,12.37,12.53,12.53,2019
65,9197893,Hilary Ojinnaka,21485,UC Davis,Big West,12.12,12.33,12.37,12.69,2019
66,9447035,Jazmin Moreno,20694,Cal Poly SLO,Big West,12.5,12.08,12.41,12.76,2019
67,9166915,Ralaina LiDrazzah,20694,Cal Poly SLO,Big West,12.29,12.05,12.98,12.98,2019
68,9106281,Onyx Gaston,20790,CS Fullerton,Big West,12.65,12.48,12.73,13.01,2019
69,9147895,Courtney Warner,20836,East Carolina,C-USA,11.63,11.44,11.56,11.78,2019
70,9203580,Cedrina Singletary,20836,East Carolina,C-USA,12.12,11.88,12.33,11.82,2019
71,9158459,Kadaria Thompson,21378,Southern Mississippi,C-USA,11.63,11.63,12.15,12.04,2019
72,9124206,Kayla Haywood,21074,Marshall,C-USA,12.3,12.03,12.09,12.05,2019
73,8995276,Melany Frierson,20588,Alabama-Birmingham,C-USA,12.03,12.02,12.31,12.09,2019
74,9127020,Atlanta Woodall,20836,East Carolina,C-USA,12.24,11.98,12.1,12.23,2019
75,9107160,Meredith Willis,20989,James Madison,Colonial (CAA),11.9,11.73,11.83,12.03,2019
76,8981960,Arianna Waller,21472,Towson,Colonial (CAA),12.14,12.28,11.91,12.22,2019
77,9001604,Sydney Fisher,21203,Northeastern,Colonial (CAA),12.46,12.01,12.62,12.51,2019
78,9142626,Karina Dufoe,21364,South Dakota,Great West,11.92,11.82,12.1,12.23,2019
79,9001560,Ngozi Musa,20937,Harvard,Heps,11.66,11.33,12.04,11.65,2019
80,9001550,Nicole Deblasio,20807,Dartmouth,Heps,12.32,12.1,11.95,12.05,2019
82,8984902,Natajah Simmons,21054,Loyola-Chicago,Horizon,12.58,11.91,12.17,12.29,2019
83,10893722,Mariah LeSure,20788,CS Bakersfield,Independent,12.15,11.82,12.1,12.08,2020
85,8984848,Jessica Harris,20844,Eastern Michigan,Mid-American (MAC),11.67,11.6,11.64,11.56,2019
87,9006141,Peyton Stewart,20637,Ball State,Mid-American (MAC),11.83,11.55,11.66,11.82,2019
88,8989935,Christina Johnson,21470,Toledo,Mid-American (MAC),12.58,12.4,12.47,12.18,2019
89,9128322,Courtney Guiley,21228,Ohio,Mid-American (MAC),12.61,12.71,13.04,12.97,2019
90,9128337,Thelma Agyekum,21228,Ohio,Mid-American (MAC),12.9,12.4,12.35,13.01,2019
91,8985115,Kayla White,21188,North Carolina A&amp;T,Mid-Eastern (MEAC),11.52,11.39,11.24,10.95,2019
92,8985125,Bethany White,21189,North Carolina Central,Mid-Eastern (MEAC),11.71,11.55,11.28,11.28,2019
93,8992323,Tyrika Lee,21186,Norfolk State,Mid-Eastern (MEAC),11.9,11.77,11.47,11.5,2019
94,9107535,Quamecha Morrison,20659,Bethune-Cookman,Mid-Eastern (MEAC),11.83,11.75,11.74,11.91,2019
95,8981886,Kevena Jones,21150,Morgan State,Mid-Eastern (MEAC),12.46,11.99,12.09,12.16,2019
96,8996033,Taryn Smiley,21131,Missouri State,Missouri Valley (MVC),12.37,11.85,11.95,11.7,2019
97,9014573,Jerayah Davis,21595,Wyoming,Mountain West (MWC),11.81,11.41,11.49,11.18,2019
98,12552934,MaryBeth Sant,20768,Colorado State,Mountain West (MWC),11.47,11.57,11.71,11.41,2019
