,ID,Name,School_ID,School,Division,Fr_PR,So_PR,Jr_PR,Sr_PR,Grad_Yr
0,10879756,Sam Young,21507,Virginia,Atlantic Coast (ACC),5.09,5.2,5.2,5.25,2021
1,9152405,Tyler Loontjer,21169,Nebraska,Big 10,5.45,5.22,5.3,5.3,2019
2,9121532,Hussain Al Hizam,20996,Kansas,Big 12,5.26,5.6,5.63,5.7,2021
3,10897603,Carter Clasper,20945,High Point,Big South,4.7,4.92,5.05,4.8,2021
4,10882644,Ethan Bray,21364,South Dakota,Great West,5.31,5.4,5.43,5.5,2021
5,10916079,Chad Horstmann,21425,Stephen F. Austin,Southland (SLC),4.95,5.0,4.96,5.06,2021
6,10855943,Tristan Ham,21267,Prairie View A&amp;M,Southwestern (SWAC),4.75,4.85,4.87,5.11,2021
7,8984945,David Bell,21367,South Florida,American,5.03,5.21,5.25,5.3,2019
8,9102951,Ian Bergere,20780,Connecticut,American,4.7,5.0,4.9,4.96,2019
9,9123670,Deakin Volz,21510,Virginia Tech,Atlantic Coast (ACC),5.65,5.41,5.6,5.62,2019
11,9450450,Andreas Christodoulou,21100,Miami (FL),Atlantic Coast (ACC),4.3,4.55,4.6,4.5,2019
13,8429153,Carl Johansson,21453,Texas A&amp;M,Big 12,5.07,5.28,5.35,5.31,2019
14,9122805,Barrett Poth,21452,Texas,Big 12,5.35,5.41,5.48,5.21,2019
15,9122816,Nicholas Meaders,21452,Texas,Big 12,5.2,5.38,5.03,5.0,2019
16,8987704,Charlie Bush,21141,Montana,Big Sky,4.56,4.7,4.64,4.62,2019
17,8987774,Keaton Pace,21533,Weber State,Big Sky,4.45,4.68,4.71,4.62,2019
18,8987665,Aaron Pullin,20848,Eastern Washington,Big Sky,4.22,4.26,4.71,4.62,2019
20,9123686,Andrew Arlint,21513,VMI,Big South,4.67,4.4,4.5,4.53,2019
21,8990406,Joey Jennings,21575,Winthrop,Big South,4.37,4.4,4.35,4.51,2019
22,9168414,Jonathan Broadhead,21044,Long Beach State,Big West,3.55,4.28,4.3,4.32,2019
23,9633509,Zach Nichols,21489,UC Santa Barbara,Big West,4.73,4.82,4.56,4.26,2019
24,2503211,Scott Filip,21292,Rice,C-USA,15.75,15.645833333333336,15.75,15.25,2018
26,9005398,Austin Laut,21597,Yale,Heps,5.11,5.11,5.11,5.11,2019
27,9001541,Benjamin Ose,20807,Dartmouth,Heps,4.85,4.85,4.75,4.96,2019
28,9630502,Robert O'Brien,20770,Columbia,Heps,5.0,5.11,5.05,4.95,2019
29,7966681,August Kiles,21270,Princeton,Heps,5.05,5.25,5.31,5.28,2018
30,9579363,Tyler Fraker,20584,Akron,Mid-American (MAC),5.0,5.0,5.15,5.21,2019
31,9000447,Trey Clark,20929,Hampton,Mid-Eastern (MEAC),4.18,4.4,4.32,4.52,2019
32,9107546,Dominic Harper,20659,Bethune-Cookman,Mid-Eastern (MEAC),4.25,4.5,4.77,4.47,2019
33,9110514,Hayden Bugner,21560,Wichita State,Missouri Valley (MVC),5.05,5.1,5.0,5.1,2019
34,9015557,Riley Smith,20974,Indiana State,Missouri Valley (MVC),4.82,4.79,4.98,4.6,2019
35,8987862,Austin Heitland,21208,Northern Iowa,Missouri Valley (MVC),3.23,4.0,4.3,4.25,2019
36,6407072,Kyle Pater,69490,US Air Force WCAP,Mountain West (MWC),4.88,5.17,5.4,5.5,2017
37,7716610,Nick Kravec,20768,Colorado State,Mountain West (MWC),3.55,4.2,4.45,4.61,2019
38,9000480,Colin Waitzman,21159,Mt St. Mary's,Northeast (NEC),4.4,4.51,4.3,4.72,2019
39,9150132,Chase Smith,21523,Washington,PAC-12,5.19,5.25,5.3,5.36,2019
40,7678567,Matthew Eckles,20618,Arizona State,PAC-12,5.07,5.15,5.09,5.31,2019
41,9150129,Blaise Black,21523,Washington,PAC-12,5.07,5.2,5.1,5.02,2019
42,9000522,Stefano Pineda,21167,Navy,Patriot,4.85,5.05,5.16,5.21,2019
43,8996434,Matthew Fay,20683,Bucknell,Patriot,4.75,5.15,5.11,5.11,2019
44,9152154,Will Herrscher,20585,Alabama,Southeastern (SEC),5.2,5.42,5.17,5.45,2019
45,9107579,Armand Woodley,21361,South Carolina,Southeastern (SEC),4.66,5.25,5.2,5.25,2019
48,8996069,Matt Owen,21240,Oral Roberts,Summit,4.92,5.0,4.7,5.19,2019
49,8990156,Ryan Enerson,21198,North Dakota State,Summit,3.95,4.35,4.25,4.7,2019
50,8999943,Michael Carr,20620,Arkansas State,Sun Belt,4.96,5.26,5.17,5.7,2019
51,9181792,Sean Collins,21360,South Alabama,Sun Belt,5.51,5.45,5.37,5.31,2019
52,9098058,Kyle Baudoin,21049,Louisiana-Lafayette,Sun Belt,5.31,4.97,5.08,5.07,2019
53,9181801,Chris Taylor,21360,South Alabama,Sun Belt,4.6,4.67,4.92,4.92,2019
56,9102983,John Chuma,21082,Massachusetts-Amherst,Atlantic 10,4.4,4.86,4.81,5.0,2018
57,9123685,Torben Laidig,21510,Virginia Tech,Atlantic Coast (ACC),5.42,5.6,5.7,5.6,2018
61,6657055,Tim Ehrhardt,21103,Michigan State,Big 10,5.05,5.2,5.31,5.41,2018
62,9200185,Cole Gorski,21230,Ohio State,Big 10,4.75,4.93,5.26,5.4,2018
64,8517450,Noah Gary,21103,Michigan State,Big 10,4.98,5.15,5.35,5.07,2018
65,8138678,William Dougherty,20979,Iowa,Big 10,4.0,4.3,4.5,4.8,2018
67,14427979,Audie Wyatt,21453,Texas A&amp;M,Big 12,18.041666666666668,18.541666666666668,18.70833333333333,18.375,2018
68,9027562,Jacob Wooten,21453,Texas A&amp;M,Big 12,5.3,5.45,5.55,5.56,2019
70,7234089,Nick Meyer,20996,Kansas,Big 12,5.05,5.35,5.5,5.35,2018
72,7762834,Andrew Ghizzone,20765,Colorado,Big 12,4.7,4.88,4.71,4.92,2018
73,8435311,William Ford,21072,Marquette,Big East,4.53,4.91,4.7,4.65,2018
77,7735949,Max Jette,21314,Sacramento State,Big Sky,4.01,4.45,4.58,4.49,2018
78,9198335,Carson Waters,21033,Liberty,Big South,4.7,5.15,5.15,5.29,2018
82,6695762,Marc Toney,21485,UC Davis,Big West,4.9,4.9,5.05,5.45,2018
83,8121058,Dustin Wert,21044,Long Beach State,Big West,4.75,4.9,4.9,4.9,2018
84,7894391,Mark Nicolas,20792,CS Northridge,Big West,4.45,4.6,4.97,4.8,2018
98,8150103,Chase Black,21373,Southern Illinois-Carbondale,Missouri Valley (MVC),4.76,4.81,4.83,4.63,2018
100,7715768,Daniel Lam,21180,New Mexico,Mountain West (MWC),4.55,4.7,4.9,4.79,2018
101,7757684,Tyler Berson,20583,Air Force,Mountain West (MWC),4.05,4.4,4.62,4.35,2018
106,7735703,Matthew Schwartz,21484,UC Berkeley,PAC-12,4.73,4.6,4.7,4.74,2018
107,8120997,Lee Bares,20622,Army,Patriot,5.0,5.25,5.21,5.32,2018
112,8975547,Tim Duckworth,21004,Kentucky,Southeastern (SEC),4.65,5.1,5.07,5.11,2018
113,8429692,Tray Oates,21322,Samford,Southern (SoCon),5.25,5.6,5.6,5.45,2018
114,8429688,Gavin Gautreau,21322,Samford,Southern (SoCon),4.95,4.9,5.05,4.92,2018
115,8982274,Corey Ginley,21543,Western Carolina,Southern (SoCon),4.7,4.75,4.82,4.65,2018
116,8429866,Devin King,21369,Southeast Louisiana,Southland (SLC),5.0,5.7,5.6,5.72,2019
122,8973805,Niel Giliomee,21360,South Alabama,Sun Belt,4.79,5.22,5.25,5.35,2018
126,6656854,Peter Fagan,20661,Binghamton,America East,4.95,4.7,4.7,5.05,2017
132,5221097,Brad Johnson,21510,Virginia Tech,Atlantic Coast (ACC),4.8,5.25,5.31,5.31,2017
134,10879431,Daniel Golubovic,20831,Duke,Atlantic Coast (ACC),4.9,4.81,5.05,4.81,2017
136,6656936,Brett Squibbs,20839,East Tennessee State,Atlantic Sun,5.05,5.15,5.11,5.1,2017
137,8992603,Aaron Beckwith,21040,Lipscomb,Atlantic Sun,4.45,3.96,4.17,4.0,2017
139,6854949,Steven Cahoy,21169,Nebraska,Big 10,5.4,5.35,5.21,5.31,2017
160,6670612,Paul Thenard,21044,Long Beach State,Big West,4.6,4.9,5.05,5.12,2017
165,5854916,Taylor Cudequest,20792,CS Northridge,Big West,3.25,3.69,3.85,4.12,2017
166,8961847,Teddy Scranton,20694,Cal Poly SLO,Big West,2.89,3.5,3.8,3.82,2017
168,6656980,Logan Besougloff,20897,George Mason,Colonial (CAA),4.45,4.7,4.85,4.85,2017
169,6656982,Robert Yu,20897,George Mason,Colonial (CAA),4.45,4.4,4.55,4.7,2017
170,9001591,Matthew Ferri,21203,Northeastern,Colonial (CAA),3.3,3.65,3.65,3.75,2017
175,7966682,Ben Gaylord,21270,Princeton,Heps,4.7,4.76,4.85,5.06,2017
177,6656828,Matthew Rowland,20584,Akron,Mid-American (MAC),4.95,5.2,5.3,5.36,2017
179,6244691,Kyle Schlumbohm,21003,Kent State,Mid-American (MAC),4.61,4.75,4.73,4.9,2017
180,6156695,Tony Armstrong,20719,Central Michigan,Mid-American (MAC),4.66,4.85,4.73,4.1,2017
183,6348495,Chad Weaver,21373,Southern Illinois-Carbondale,Missouri Valley (MVC),4.7,5.06,5.05,5.23,2017
188,6407072,Kyle Pater,20583,Air Force,Mountain West (MWC),4.88,5.17,5.4,5.5,2017
193,9017424,Christian Locke,21370,Southeast Missouri State,Ohio Valley (OVC),4.6,4.64,4.85,5.15,2017
194,8992703,Justin Young,21449,Tennessee State,Ohio Valley (OVC),4.2,4.35,4.17,4.57,2017
195,6243769,Cole Walsh,21242,Oregon,PAC-12,5.35,5.25,5.41,5.5,2017
200,6243773,Mitch Modin,21242,Oregon,PAC-12,4.6,4.77,4.8,4.7,2017
207,6854309,Brad Culp,20619,Arkansas,Southeastern (SEC),4.6,4.65,4.9,4.92,2017
208,6854310,Lane Austell,20619,Arkansas,Southeastern (SEC),4.6,4.5,4.61,4.6,2017
212,6181710,Phillip Thomas,20615,Appalachian State,Southern (SoCon),4.7,4.65,5.11,4.77,2017
217,7096036,Justin Estala,21240,Oral Roberts,Summit,5.11,5.05,5.13,4.82,2017
230,3809843,Chris Uhle,21510,Virginia Tech,Atlantic Coast (ACC),5.1,5.25,5.21,5.47,2016
232,3809828,Christian Lavorgna,21507,Virginia,Atlantic Coast (ACC),4.1,4.35,4.4,4.6,2016
236,3867891,Zach Ziemek,21576,Wisconsin,Big 10,5.1,5.0,5.1,5.26,2016
238,3847338,Craig Driver,21169,Nebraska,Big 10,5.05,5.2,5.18,5.21,2016
240,5015435,Jaime Salisbury,21103,Michigan State,Big 10,4.71,4.9,4.88,5.1,2016
242,5854963,Mitch Mammoser,20966,Illinois,Big 10,4.85,4.98,4.9,4.96,2016
246,5384360,Chase Wolfle,21453,Texas A&amp;M,Big 12,5.2,5.56,5.4,5.65,2016
