,ID,Name,School_ID,School,Division,Fr_PR,So_PR,Jr_PR,Sr_PR,Grad_Yr
0,8984956,Nicole Carroll,21367,South Florida,American,3.52,3.85,3.7,3.5,2021
1,10788560,Carolyn Nye,20966,Illinois,Big 10,3.2,3.72,3.9,3.9,2021
2,9131180,Sydney King,21232,Oklahoma,Big 12,3.7,3.65,4.14,3.96,2021
3,11833548,Bianca Becker,21485,UC Davis,Big West,3.77,3.7,3.75,3.89,2021
4,11102474,Sydney Jaques,20694,Cal Poly SLO,Big West,3.65,3.65,3.89,3.85,2021
5,12911188,Julia Wang,21489,UC Santa Barbara,Big West,3.35,3.35,3.45,3.51,2021
6,10893721,Julianne Finch,20788,CS Bakersfield,Independent,3.8,3.9,3.8,3.83,2020
7,10889709,Shannon Fritz,21180,New Mexico,Mountain West (MWC),3.62,3.44,3.64,3.75,2021
8,11237400,Erika Malaspina,21424,Stanford,PAC-12,3.95,4.22,4.03,3.92,2021
9,10880465,Kaylee Bizzell,21425,Stephen F. Austin,Southland (SLC),3.91,3.85,4.26,4.0,2021
10,10855930,Brianna Robinson,21267,Prairie View A&amp;M,Southwestern (SWAC),2.91,3.4,3.5,3.55,2021
11,8990051,Sabrina Anderson,21176,New Hampshire,America East,3.4,3.35,3.4,3.15,2019
12,8992622,Morgan Zacharias,21051,Louisville,American,3.99,4.13,3.75,4.2,2019
13,9124170,Brooke Catherine,20738,Cincinnati,American,4.0,4.03,3.93,4.06,2019
15,9124178,Sadie Brass,20738,Cincinnati,American,3.5,3.75,1.12,3.92,2019
16,9147890,Nati Sheppard,20831,Duke,Atlantic Coast (ACC),3.9,4.03,4.05,4.23,2019
17,9127186,Tesia Kempski,21517,Wake Forest,Atlantic Coast (ACC),3.76,3.93,4.0,4.07,2019
19,9644658,Meagan Gray,21232,Oklahoma,Big 12,4.06,4.21,4.04,4.35,2019
21,9131176,Mackenzie Shell,21232,Oklahoma,Big 12,4.3,4.1,3.74,3.92,2019
22,9142584,Maddie Gardner,21540,West Virginia,Big East,3.91,4.13,4.3,4.3,2019
23,8987670,Elizabeth Prouty,20848,Eastern Washington,Big Sky,3.7,3.9,3.9,4.05,2019
24,9146905,Isabella Calabrese,21142,Montana State,Big Sky,3.25,3.51,3.75,3.63,2019
