,ID,Name,School_ID,School,Division,Fr_PR,So_PR,Jr_PR,Sr_PR,Grad_Yr
0,10795092,Matthew Baker,20661,Binghamton,America East,14.93,14.69,14.73,14.64,2021
1,10807426,Ethan Erusha,21409,Saint Louis U,Atlantic 10,13.93,13.82,14.59,13.94,2021
2,10789285,Avery McKenzie,20667,Boston College,Atlantic Coast (ACC),14.41,14.66,14.81,15.2,2021
3,10880473,O'Brien Wasome,21452,Texas,Big 12,16.31,15.62,16.71,16.02,2021
4,10799682,Evan Hailes,21575,Winthrop,Big South,14.4,14.28,15.15,14.53,2021
5,10880682,Timothy Davis,20731,Charleston Southern,Big South,14.56,14.45,15.18,14.05,2021
6,12841030,Anthony Reyes,21487,UC Riverside,Big West,14.19,14.64,14.45,13.88,2021
7,10791975,Albert MacArthur,21497,Utah Valley University,Great West,15.14,15.91,15.64,15.78,2021
8,10859714,Clayton Brown,20871,Florida,Southeastern (SEC),16.17,16.4,15.99,16.57,2021
9,10855474,Christian Miller,21056,LSU,Southeastern (SEC),15.24,15.75,16.16,15.35,2021
10,10875548,Quindarrius Thompson,21216,Northwestern State,Southland (SLC),14.88,15.38,14.77,15.6,2021
11,10876022,Omahri Sturdivant,20591,Albany,America East,15.31,14.75,14.79,14.89,2021
13,9119010,Errol Ennis,21367,South Florida,American,15.43,14.93,15.46,15.21,2019
14,8999569,Markel Dalton,21192,North Carolina-Charlotte,Atlantic 10,14.68,15.51,15.72,15.68,2019
16,9118936,Armani Wallace,20876,Florida State,Atlantic Coast (ACC),16.12,16.32,16.44,16.99,2019
18,9103643,Noah Tyson,20702,Campbell,Atlantic Sun,13.72,14.85,14.6,15.54,2019
19,8985196,Benjamin Bapoupeleh,21363,South Carolina Upstate,Atlantic Sun,12.6,12.88,13.45,13.69,2019
20,9015461,Eric Bethea,20972,Indiana (IN),Big 10,14.59,15.77,15.9,16.65,2019
21,9109673,DaJuan Seward,21230,Ohio State,Big 10,15.2,15.92,16.12,15.52,2019
22,9111123,James Travis,21117,Minnesota,Big 10,14.33,15.02,14.8,14.32,2019
24,9119090,Charles Brown,21461,Texas Tech,Big 12,16.35,16.01,15.51,16.09,2019
25,9131177,Marcus Mitchell,21232,Oklahoma,Big 12,15.24,15.18,15.19,15.17,2019
28,9198341,Jonathan Saintil,21033,Liberty,Big South,14.34,14.63,14.33,14.94,2019
29,9806110,Drew Xandrine-Anderson,21485,UC Davis,Big West,15.0,15.74,15.81,15.43,2019
31,9359506,Steven Childs,21485,UC Davis,Big West,13.8,13.58,15.3,14.58,2019
32,9127064,Maurice Holmes,21195,North Carolina-Wilmington,Colonial (CAA),13.69,14.31,14.34,14.16,2019
33,9001588,Kurt Robakiewicz,21203,Northeastern,Colonial (CAA),14.28,14.18,14.36,13.97,2019
35,8997100,Stefan Amokwandoh,21270,Princeton,Heps,15.08,15.71,15.54,15.6,2019
36,8991890,James Seaton,20784,Cornell,Heps,14.58,15.2,14.65,15.21,2019
37,8992799,Jason Katz,20680,Brown,Heps,14.53,15.79,15.06,15.05,2019
38,9005383,Jimmy Shih,21597,Yale,Heps,14.22,14.86,14.71,14.52,2019
39,9015399,Michael Horn,21295,Rider,Metro Atlantic (MAAC),13.6,14.77,14.87,15.39,2019
40,9018295,Craig Stevens Jr,21003,Kent State,Mid-American (MAC),15.07,16.06,15.76,15.84,2019
41,8984851,Micah Peters,20844,Eastern Michigan,Mid-American (MAC),14.38,14.81,14.21,14.26,2019
42,8985117,Lasheon Strozier,21188,North Carolina A&amp;T,Mid-Eastern (MEAC),15.08,15.81,15.21,15.36,2019
43,9107549,Joel Sampson,20659,Bethune-Cookman,Mid-Eastern (MEAC),14.78,14.61,14.81,14.28,2019
44,9097956,Dalten Fox,20768,Colorado State,Mountain West (MWC),13.98,14.3,13.67,14.43,2019
45,8997034,Darius Howe,21140,Monmouth (NJ),Northeast (NEC),14.5,14.58,15.34,15.18,2019
46,9120440,CJ Alumbres,21490,UCLA,PAC-12,15.15,15.21,15.67,15.33,2019
47,9478200,Robby Flores,21526,Washington State,PAC-12,14.67,14.85,14.98,14.8,2019
48,8996444,Reggie Harris,20683,Bucknell,Patriot,14.12,14.33,14.54,14.22,2019
51,9098067,Da'Quan Bellard,21056,LSU,Southeastern (SEC),15.58,15.42,15.71,15.98,2019
52,9149876,Gralyn Jones,21126,Mississippi State,Southeastern (SEC),14.25,14.59,4.59,15.36,2019
53,9152167,Mark Rubalcaba,20625,Auburn,Southeastern (SEC),14.27,15.3,14.68,14.7,2019
55,9098151,Jacorious Jeter,21216,Northwestern State,Southland (SLC),14.87,14.8,14.33,14.62,2019
56,9118976,Javauny Hyde,20986,Jackson State,Southwestern (SWAC),14.56,15.1,14.66,13.94,2019
57,8996065,Jaden Purnell,21240,Oral Roberts,Summit,14.95,15.8,15.57,16.05,2019
58,9126972,Kelle'Mon Hinton,21198,North Dakota State,Summit,14.11,14.49,14.98,15.08,2019
59,7678574,Michael Lankford,21381,Southern Utah,Summit,13.01,13.23,13.15,12.92,2019
60,8981757,Lebrun Nelson,21050,Louisiana-Monroe,Sun Belt,14.35,15.37,15.48,15.38,2019
61,9731965,Jonny Magee,20964,Idaho,Western (WAC),14.34,14.6,14.71,14.82,2019
64,5707684,Matthew Oneal,21367,South Florida,American,15.9,16.22,16.12,17.01,2016
66,9124137,Devin Valentine,21051,Louisville,American,15.01,14.28,14.88,15.46,2018
67,9545911,Kaleb Rowe,21051,Louisville,American,14.02,14.43,15.3,14.63,2018
69,9118778,Nigel Riley,21288,Rhode Island,Atlantic 10,14.15,14.58,14.33,14.24,2018
75,8429140,Kaiwan Culmer,21169,Nebraska,Big 10,14.85,16.04,16.12,16.43,2018
78,7681951,Kevin Stephens Jr.,21102,Michigan,Big 10,14.38,15.22,15.02,15.67,2018
80,8995966,Barden Adams,20996,Kansas,Big 12,14.53,15.36,16.38,16.26,2018
