,ID,Name,School_ID,School,Division,Fr_PR,So_PR,Jr_PR,Sr_PR,Grad_Yr
0,10879443,Brianna Isles,21187,North Carolina,Atlantic Coast (ACC),10.68,11.8,12.32,12.13,2021
1,10859419,Leah Moran,20972,Indiana (IN),Big 10,12.23,12.89,13.15,13.25,2021
2,10858950,Leah Blackall,21078,Maryland,Big 10,11.76,12.29,12.96,12.54,2021
3,10872924,Konstantina Romaiou,20998,Kansas State,Big 12,13.19,13.25,13.4,12.55,2021
4,10805162,Lajarvia Brown,21453,Texas A&amp;M,Big 12,13.11,13.42,13.2,12.14,2021
5,10805153,Ciynamon Stevenson,21453,Texas A&amp;M,Big 12,12.9,13.26,13.36,12.04,2021
6,10880453,Jacinta Fisher,20641,Baylor,Big 12,11.76,11.64,12.13,11.75,2021
7,10873934,Michelle Fokam,21292,Rice,C-USA,12.3,13.43,13.48,13.37,2021
8,10890210,Breanna Covington,20887,Fresno State,Mountain West (MWC),11.77,11.9,12.26,12.71,2021
9,9001527,Kennedy Jones,20668,Boston University,America East,12.24,12.21,11.9,12.33,2019
10,9001529,Lovie Burleson,20668,Boston University,America East,12.26,12.46,12.2,12.04,2019
11,9147882,Domonique Panton,20831,Duke,Atlantic Coast (ACC),12.24,12.47,12.79,13.36,2019
12,10858950,Leah Blackall,21078,Maryland,Atlantic Coast (ACC),11.76,12.29,12.96,12.54,2021
13,7715760,Javonne Antoine,21190,North Carolina State,Atlantic Coast (ACC),12.35,12.54,12.98,12.71,2019
14,7715705,Mia Barron,21507,Virginia,Atlantic Coast (ACC),12.4,12.75,12.57,12.55,2019
16,9127136,Brittany Bowald,20987,Jacksonville (FL),Atlantic Sun,12.07,12.34,12.9,11.58,2019
18,9109670,Mikaela Seibert,21230,Ohio State,Big 10,12.7,12.86,12.72,12.7,2019
19,9198805,Shardia Lawrence,20998,Kansas State,Big 12,13.19,13.79,13.24,13.99,2019
23,9497081,Georgia Wahl,21452,Texas,Big 12,12.49,12.83,12.99,12.91,2019
24,9131178,Najuana Strickland,21232,Oklahoma,Big 12,12.04,11.88,11.98,12.44,2019
26,9028012,Maja Wichhart-Donzo,20765,Colorado,Big 12,11.49,12.09,12.29,12.09,2019
27,8429818,Shamoya McNeil,21540,West Virginia,Big East,12.52,12.76,13.21,12.74,2019
28,8987587,Winona Peace,21405,St John's (NY),Big East,10.69,10.58,10.72,10.92,2019
29,10876318,Chaquinn Cook,21242,Oregon,Big Sky,12.82,13.51,13.89,13.72,2019
30,9125922,Cassidy Peng,21489,UC Santa Barbara,Big West,11.42,11.8,11.77,12.19,2019
31,9106281,Onyx Gaston,20790,CS Fullerton,Big West,11.53,11.76,11.51,11.99,2019
32,10990710,Sabina Dayal,21489,UC Santa Barbara,Big West,11.57,11.35,11.3,11.17,2020
33,9359461,Izabel Lopez,21487,UC Riverside,Big West,10.64,10.95,10.96,11.23,2019
34,9168416,Kalesi Budei,20694,Cal Poly SLO,Big West,11.5,12.42,11.51,11.19,2019
36,9127029,Kristen Stephens,20836,East Carolina,C-USA,11.43,11.33,11.62,11.57,2019
37,8992383,Bri Miller,21564,William &amp; Mary,Colonial (CAA),11.19,11.31,11.59,12.01,2019
38,9151509,Julia McDermott,21564,William &amp; Mary,Colonial (CAA),10.76,11.49,11.12,11.65,2019
39,9098702,Olivia Goncerz,20812,Delaware,Colonial (CAA),10.79,10.78,3.41,11.11,2019
40,9001605,Zhane Goode,21203,Northeastern,Colonial (CAA),11.28,11.22,3.36,10.63,2019
41,9144323,Natayla Nance,28394,Houston Baptist,Great West,12.44,12.46,12.53,12.8,2019
