ID,Name,School_ID,School,Division
10492207,Vann Moffett,21430,Stony Brook,America East
10492202,Chris Biondi,21430,Stony Brook,America East
16023045,Evan Brennan,21430,Stony Brook,America East
17702995,Colin Ross,21430,Stony Brook,America East
10492204,Greg Mangarelli,21430,Stony Brook,America East
10673382,Cameron Avery,21430,Stony Brook,America East
14183044,Aiden Smyth,21430,Stony Brook,America East
16105255,Samuel Mills,21062,Maine,America East
16105253,Luke Marsanskis,21062,Maine,America East
12603006,David Leff,20661,Binghamton,America East
12602999,Matthew Goyden,20661,Binghamton,America East
16154842,Brandon Garcia,20591,Albany,America East
12284363,Ian Denis,21502,Vermont,America East
12617880,Taylor Baranoski,21079,Maryland-Baltimore County,America East
16276387,Matthew Jacob,20661,Binghamton,America East
14168167,Owen Amsden,21502,Vermont,America East
17702988,James Dennison,21079,Maryland-Baltimore County,America East
15053682,Nassim Ramdani,20591,Albany,America East
10596102,Nicholas Brown,21176,New Hampshire,America East
14157914,Sam Brosh,21079,Maryland-Baltimore County,America East
17659310,Myles Quirion,21062,Maine,America East
18148317,Elijah Caret,21062,Maine,America East
17702987,Daron Taylor,21079,Maryland-Baltimore County,America East
17659309,Trevor DeMarco,21176,New Hampshire,America East
14157907,Chris Thoms,21079,Maryland-Baltimore County,America East
18148330,Colin Maher,21502,Vermont,America East
17702989,Zach Taylor,21079,Maryland-Baltimore County,America East
16022937,Evans Kiptum,20591,Albany,America East
17659322,Caleb Streinz,21062,Maine,America East
18148319,Lucas Bergeron,21062,Maine,America East
16110026,Peter Kostarellis,21093,Memphis,American
17554336,Christian Fitch,21447,Temple,American
17554343,Tyler Fauvelle,21447,Temple,American
17575301,Liam Walsh,21093,Memphis,American
14168067,Gabe Armijo,20955,Houston,American
17554339,Jeppe Risvig,21447,Temple,American
16110015,Bradley Turner,21093,Memphis,American
17853375,Tom Ragone,21093,Memphis,American
17557167,Juan Olmos,20955,Houston,American
10709498,Zachary Michon,21407,St Joseph's (PA),Atlantic 10
10635564,Alex Cornwell,21192,North Carolina-Charlotte,Atlantic 10
16299442,Hunter White,21192,North Carolina-Charlotte,Atlantic 10
14142885,Peter Borger,21294,Richmond,Atlantic 10
12469391,Noah Yuro,21294,Richmond,Atlantic 10
12378345,Austin Carroll,21192,North Carolina-Charlotte,Atlantic 10
16123649,Brian Picone,21192,North Carolina-Charlotte,Atlantic 10
12315828,Nicholas Raefski,20878,Fordham,Atlantic 10
16110354,Finn McBride,21192,North Carolina-Charlotte,Atlantic 10
17442657,Tyler Christensen,21192,North Carolina-Charlotte,Atlantic 10
14115065,Brandon Hall,20878,Fordham,Atlantic 10
14142882,Noah Campbell,21294,Richmond,Atlantic 10
14142881,James Quinn,21294,Richmond,Atlantic 10
14017125,Adam Walker,21409,Saint Louis U,Atlantic 10
14196488,Eric Zulkofske,21288,Rhode Island,Atlantic 10
17442650,Avery Cannon,21192,North Carolina-Charlotte,Atlantic 10
16120175,James Glockenmeier,28888,George Washington,Atlantic 10
12315829,William Whelan,20878,Fordham,Atlantic 10
16351862,Riley Fletcher,21294,Richmond,Atlantic 10
17575656,Patrick Donovan,21409,Saint Louis U,Atlantic 10
14017132,Patrick Holbrook,21409,Saint Louis U,Atlantic 10
17583050,Robert Gunia,21294,Richmond,Atlantic 10
16105264,Ben Fleischer,21288,Rhode Island,Atlantic 10
16049537,Sean Doolan,21294,Richmond,Atlantic 10
16125148,Colin Kane,21407,St Joseph's (PA),Atlantic 10
12386810,Matthew Vinacco,21288,Rhode Island,Atlantic 10
16049536,Tanner Crochet,21294,Richmond,Atlantic 10
17583048,Jordan Bendura,21294,Richmond,Atlantic 10
14142883,Patrick Sutphin,21294,Richmond,Atlantic 10
17575655,Jonathon Coffman,21409,Saint Louis U,Atlantic 10
17799596,Steve Zucca,20878,Fordham,Atlantic 10
16003339,Ryan Fahey,20878,Fordham,Atlantic 10
17575654,Jonas Bears,21409,Saint Louis U,Atlantic 10
10641362,Andrew Kent,20903,Georgia Tech,Atlantic Coast (ACC)
16104509,Hannes Burger,21190,North Carolina State,Atlantic Coast (ACC)
8893215,Diego Zarate,21510,Virginia Tech,Atlantic Coast (ACC)
14183062,Rohann Asfaw,21507,Virginia,Atlantic Coast (ACC)
17477118,Sean Stuck,21510,Virginia Tech,Atlantic Coast (ACC)
12615825,Braeden Collins,20903,Georgia Tech,Atlantic Coast (ACC)
10894399,Randy Neish,21507,Virginia,Atlantic Coast (ACC)
16283816,Zach Jaeger,20903,Georgia Tech,Atlantic Coast (ACC)
16293660,Ben Verchick,21190,North Carolina State,Atlantic Coast (ACC)
12358760,John Lepino,21517,Wake Forest,Atlantic Coast (ACC)
14387615,Marshall Williamson,21187,North Carolina,Atlantic Coast (ACC)
14387399,Harrison Morris,20903,Georgia Tech,Atlantic Coast (ACC)
17477112,David Kennedy,21510,Virginia Tech,Atlantic Coast (ACC)
17396072,Jacob Shewbert,20903,Georgia Tech,Atlantic Coast (ACC)
14922193,Tyler Leeser,21510,Virginia Tech,Atlantic Coast (ACC)
16023008,Nick Nyman,20903,Georgia Tech,Atlantic Coast (ACC)
14182982,James Cragin,20903,Georgia Tech,Atlantic Coast (ACC)
17477111,Colby Burcham,21510,Virginia Tech,Atlantic Coast (ACC)
14045902,Michael Smith,20751,Clemson,Atlantic Coast (ACC)
12265455,John Ward,20751,Clemson,Atlantic Coast (ACC)
17541769,Jack McManus,20751,Clemson,Atlantic Coast (ACC)
12634974,David Whitfield,21510,Virginia Tech,Atlantic Coast (ACC)
16104384,Marlin Young,20751,Clemson,Atlantic Coast (ACC)
16283815,Ronan Sullivan,20903,Georgia Tech,Atlantic Coast (ACC)
12265381,Colt Griffith,20751,Clemson,Atlantic Coast (ACC)
12363089,Matthew Scarr,20839,East Tennessee State,Atlantic Sun
17642819,Wesley Meyer,21040,Lipscomb,Atlantic Sun
10615085,Zach Israel,21040,Lipscomb,Atlantic Sun
14131932,Nathan Jubran,21199,North Florida,Atlantic Sun
16109975,Brady Johnson,21040,Lipscomb,Atlantic Sun
15887989,Aidan O'Gorman,21199,North Florida,Atlantic Sun
17554767,Jake Turner,21199,North Florida,Atlantic Sun
12310028,Leo Queyrou,21199,North Florida,Atlantic Sun
14131934,Timothy Doyle,21199,North Florida,Atlantic Sun
16109905,Myles Stoots,20839,East Tennessee State,Atlantic Sun
14155515,Vladimir Zander-Velloso,28967,Mercer,Atlantic Sun
12340966,Patrick Smith,21040,Lipscomb,Atlantic Sun
17554773,Robert Pedroza,21199,North Florida,Atlantic Sun
17642818,Andy Smith,21040,Lipscomb,Atlantic Sun
12310027,Jared Vazquez,21199,North Florida,Atlantic Sun
17554774,Thomas Weiler,21199,North Florida,Atlantic Sun
17554769,Justin Tackling,21199,North Florida,Atlantic Sun
17476439,Joshua Kraver,28967,Mercer,Atlantic Sun
17546241,Gavin Frick,21002,Kennesaw State,Atlantic Sun
17554772,Onix Ortiz,21199,North Florida,Atlantic Sun
14155509,Diego Lavieri Sosa,28967,Mercer,Atlantic Sun
12254714,Fuad Batteh,28967,Mercer,Atlantic Sun
12254715,Josiah Jaqua,28967,Mercer,Atlantic Sun
11245443,John Bobo,21199,North Florida,Atlantic Sun
17476440,Michael Patterson,28967,Mercer,Atlantic Sun
14155508,Chris French,28967,Mercer,Atlantic Sun
17476441,Reece Cato,28967,Mercer,Atlantic Sun
17554765,Gavin O'Brien,21199,North Florida,Atlantic Sun
17476438,Camden Abrams,28967,Mercer,Atlantic Sun
17554768,John McKenzie,21199,North Florida,Atlantic Sun
17546598,Tyler Cushing,20966,Illinois,Big 10
17994730,Behailu Bekele-Arcuri,21255,Penn State,Big 10
16738670,Khalid Hussein,21117,Minnesota,Big 10
14029920,Colin Yandel,20966,Illinois,Big 10
16143578,Jack Roberts,20966,Illinois,Big 10
17576133,Ian Shaw,21274,Purdue,Big 10
17547953,Zubin Jha,21230,Ohio State,Big 10
14058494,Michael Zedan,21230,Ohio State,Big 10
16126728,Zach Shultz,21230,Ohio State,Big 10
17546600,Will Giblin,20966,Illinois,Big 10
14029921,Logan Hall,20966,Illinois,Big 10
16126725,Jack Good,21230,Ohio State,Big 10
17547949,John Cuozzo,21230,Ohio State,Big 10
17555234,William White,21274,Purdue,Big 10
17546595,Ben Giblin,20966,Illinois,Big 10
16272961,Rylan Flint,21078,Maryland,Big 10
16143579,Michael Madiol,20966,Illinois,Big 10
12648614,Edwin Kurgat,20981,Iowa State,Big 12
17389561,Wesley Kiptoo,20981,Iowa State,Big 12
10880917,Eduardo Herrera,20765,Colorado,Big 12
8893110,John Dressel,20765,Colorado,Big 12
17594188,Ezekiel Kibichii,20981,Iowa State,Big 12
10313644,Thomas Pollard,20981,Iowa State,Big 12
17394818,William Sinclair,21128,Missouri,Big 12
17572649,Ethan Powell,20765,Colorado,Big 12
10708360,John Rice,21452,Texas,Big 12
17594073,Yusuf Bizimana,21452,Texas,Big 12
18197016,Ryan Robinson,20765,Colorado,Big 12
16152569,Eric Casarez,21453,Texas A&amp;M,Big 12
16043211,Haftu Knight,21452,Texas,Big 12
17471252,Rodger Rivera,21452,Texas,Big 12
17471244,Abraham Avila-Martinez,21452,Texas,Big 12
14273671,Marquette Wilhite,21128,Missouri,Big 12
14412501,Kerby Depenbusch,20998,Kansas State,Big 12
17441003,Blake Morris,21128,Missouri,Big 12
17471254,Yaseen Abdalla,21452,Texas,Big 12
16104470,David Lutgen,20998,Kansas State,Big 12
14268237,Ryan Day,20641,Baylor,Big 12
17790586,Nathan Hall,21128,Missouri,Big 12
12388253,Connor Laktasic,20641,Baylor,Big 12
14073795,Eric Maclean,21461,Texas Tech,Big 12
17394817,Ryan Mata,21128,Missouri,Big 12
14395212,Brady Grant,21453,Texas A&amp;M,Big 12
16209794,Chase Dornbusch,20996,Kansas,Big 12
17851455,Nicklaus Brawner,21453,Texas A&amp;M,Big 12
17790585,Sam Hubert,20996,Kansas,Big 12
16104474,Jack Moore,20998,Kansas State,Big 12
16119013,Jack Thomas,20998,Kansas State,Big 12
10804992,George Letner,20996,Kansas,Big 12
14073799,Luke Estes,21461,Texas Tech,Big 12
15245043,Ryan Butler,20996,Kansas,Big 12
17471269,Noah Hamilton,21461,Texas Tech,Big 12
14395230,Ryan Hodge,20641,Baylor,Big 12
