ID,Name,School_ID,School,Division
17935451,Brandon Love,20661,Binghamton,America East
14307422,Casey Gribben,20661,Binghamton,America East
17861344,Ian Hoffman,21079,Maryland-Baltimore County,America East
16200497,Alexander Ianniello,21079,Maryland-Baltimore County,America East
16218312,Isaac Heatley,20591,Albany,America East
17659323,Dominick Lizzotte,21062,Maine,America East
17799616,Jason McDonough,20591,Albany,America East
16204859,Jeremy Bissel,21062,Maine,America East
17799647,Michael Baker,20591,Albany,America East
12565958,Elias Lindsey,21502,Vermont,America East
17861378,Joseph Kurek,21079,Maryland-Baltimore County,America East
16204864,Zachary Beaton,21062,Maine,America East
12565964,DJ Snide,21502,Vermont,America East
17565489,Robin Nool,21093,Memphis,American
16205488,Christyan Sampy,20955,Houston,American
16205482,Antonio Ruiz,20955,Houston,American
12555516,Ben Percefull,20955,Houston,American
14402034,Stone Baker,21367,South Florida,American
16205483,Jacob Adair,20955,Houston,American
17557139,Sean Roth,21051,Louisville,American
16205498,Tyler Stafford,20955,Houston,American
17546837,Nico Morales,21311,Rutgers,American
17557145,Zach Frye,21051,Louisville,American
16386218,Mason Schrade,20955,Houston,American
17564522,Kobe Babin,21367,South Florida,American
16203608,Isaiah Powers,21288,Rhode Island,Atlantic 10
15159845,Gregory Potter,21288,Rhode Island,Atlantic 10
16203646,Zach Nyhart,21288,Rhode Island,Atlantic 10
16203633,Darin Smalls,21288,Rhode Island,Atlantic 10
10879756,Sam Young,21507,Virginia,Atlantic Coast (ACC)
14400906,Harrison Rice,21510,Virginia Tech,Atlantic Coast (ACC)
16299411,Jacob Rice,21510,Virginia Tech,Atlantic Coast (ACC)
17838417,Joey Kelly,21507,Virginia,Atlantic Coast (ACC)
17838224,Evan LEE,20831,Duke,Atlantic Coast (ACC)
16280925,Ben Finger,21187,North Carolina,Atlantic Coast (ACC)
16299432,Kane Aldrich,21507,Virginia,Atlantic Coast (ACC)
17567907,Isaac Young,21187,North Carolina,Atlantic Coast (ACC)
16203316,Jack Rhea,21002,Kennesaw State,Atlantic Sun
12116097,Stephen Smith,21002,Kennesaw State,Atlantic Sun
8992588,Braden Carei,20643,Belmont,Atlantic Sun
17555077,Jefferson Hutchinson,20702,Campbell,Atlantic Sun
17553332,Quann Shears,21002,Kennesaw State,Atlantic Sun
10798813,Drake Mitchell,20643,Belmont,Atlantic Sun
16382510,Conor Nix,20643,Belmont,Atlantic Sun
17546231,Ian Jackson,21002,Kennesaw State,Atlantic Sun
9152405,Tyler Loontjer,21169,Nebraska,Big 10
