ID,Name,School_ID,School,Division
10799565,Terrel Davis,20935,Hartford,America East
10795092,Matthew Baker,20661,Binghamton,America East
17848609,Marcrene Jeannot,20661,Binghamton,America East
14309670,Kyle Jacques,21062,Maine,America East
17799607,Gavin DaVanzo,21430,Stony Brook,America East
16205496,Jadon Brome,20955,Houston,American
12660151,Quinton Stringfellow,20955,Houston,American
17547691,Caleb Malbrough,20955,Houston,American
16314464,Nadale Buntin,21311,Rutgers,American
17547690,Benjamin Okafor,20955,Houston,American
17564515,Ayomide Ogunbunmi,20955,Houston,American
16207976,Logan Williamson,20833,Duquesne,Atlantic 10
17860671,Cameron Mbalo,20833,Duquesne,Atlantic 10
10807426,Ethan Erusha,21409,Saint Louis U,Atlantic 10
17842963,Patrick Fehm,21407,St Joseph's (PA),Atlantic 10
14324650,Quindel Wilson,21288,Rhode Island,Atlantic 10
16203658,Orion Joyner,21288,Rhode Island,Atlantic 10
17799636,Justin Rhee,20878,Fordham,Atlantic 10
17775932,Noah Hayes,21012,La Salle,Atlantic 10
17775937,Ben Wolfe,21012,La Salle,Atlantic 10
17790590,Xzandre Jean-Francois,21409,Saint Louis U,Atlantic 10
17548328,Owayne Owens,21507,Virginia,Atlantic Coast (ACC)
16283736,Russell Robinson,21100,Miami (FL),Atlantic Coast (ACC)
16293661,Chris Alexander,21190,North Carolina State,Atlantic Coast (ACC)
17541771,John Watkins,20903,Georgia Tech,Atlantic Coast (ACC)
16283735,Kevin Snyder,21100,Miami (FL),Atlantic Coast (ACC)
16299445,Jaren Holmes,21187,North Carolina,Atlantic Coast (ACC)
10789285,Avery McKenzie,20667,Boston College,Atlantic Coast (ACC)
17838397,Jordan Purvis,21187,North Carolina,Atlantic Coast (ACC)
12539620,Michael Oduro,20667,Boston College,Atlantic Coast (ACC)
16283737,Trey Austin,21100,Miami (FL),Atlantic Coast (ACC)
10953348,Qwazon Al-Khaliq,21002,Kennesaw State,Atlantic Sun
17555072,Andre Douglas,20702,Campbell,Atlantic Sun
17546229,David Olusanya,21002,Kennesaw State,Atlantic Sun
12638437,Tamar Greene,21274,Purdue,Big 10
14323426,James Carter,20979,Iowa,Big 10
17548565,Papay Glaywulu,21169,Nebraska,Big 10
16316967,Terrol Wilson,21169,Nebraska,Big 10
17853149,Bera Ajala,21102,Michigan,Big 10
16316954,Alexander Thompson,21169,Nebraska,Big 10
14401351,Reed Marshall,20966,Illinois,Big 10
16272950,Lance Hamilton,21255,Penn State,Big 10
16297694,Gerald Norgbe,21078,Maryland,Big 10
17548552,Matthias Algarin,21169,Nebraska,Big 10
14396611,Peyton Frankenreider,21576,Wisconsin,Big 10
17853140,Samuel Raheem,20966,Illinois,Big 10
17546597,Nick Drayden,20966,Illinois,Big 10
16272948,Joe Cardina,21255,Penn State,Big 10
16302035,Kavin Rajagopal,20966,Illinois,Big 10
14326805,Georgi Nachev,21128,Missouri,Big 12
14392574,Jequan Hogan,21461,Texas Tech,Big 12
10880473,O'Brien Wasome,21452,Texas,Big 12
12612828,Garry Williams,21232,Oklahoma,Big 12
12648615,Tejaswin Shankar,20998,Kansas State,Big 12
17557296,Jalen Seals,21461,Texas Tech,Big 12
