ID,Name,School_ID,School,Division
14393372,Dana Cerbone,21430,Stony Brook,America East
14307346,Dominique Jackson,20661,Binghamton,America East
17799578,Jaelyn Davis,21430,Stony Brook,America East
14309653,Jessica Kroushl,21062,Maine,America East
14393386,Akajia Atkins,21430,Stony Brook,America East
17748434,Savannah Wright,21079,Maryland-Baltimore County,America East
14309658,Crismeily Borg,21176,New Hampshire,America East
16204863,Meline Almasian,21176,New Hampshire,America East
17848599,Alison Getz,20661,Binghamton,America East
12617904,Mariam Magassouba,20591,Albany,America East
16200253,Zhanna Green,20661,Binghamton,America East
12539618,Marion Osei-Boateng,20591,Albany,America East
16197839,Casey Pedone,21430,Stony Brook,America East
16200170,Gabrielle Hyatt,20661,Binghamton,America East
17848603,Serena Gay,20661,Binghamton,America East
17799611,Ashlyn Chartier,20591,Albany,America East
16200419,Petronilla Onyebadi,21079,Maryland-Baltimore County,America East
12540844,Njaure Ewa,20661,Binghamton,America East
14418199,Savanna Vartabedian,21176,New Hampshire,America East
17848596,Sara Puskar,20661,Binghamton,America East
12603023,Collese Daley,21079,Maryland-Baltimore County,America East
16204845,Halle James,21062,Maine,America East
14309654,Kaitlyn Covell,21176,New Hampshire,America East
16299295,Eleanor Ashton,21502,Vermont,America East
17799593,Makayla Waugh,20591,Albany,America East
18148329,Chantal Finlay,21502,Vermont,America East
17561355,Camille Rutherford,20955,Houston,American
13697756,Tristan Evelyn,20955,Houston,American
14424738,Cecila Tamayo-Garza,20955,Houston,American
12539532,Brooke Raglin,21051,Louisville,American
15628520,Beyonce Defreitas,20717,Central Florida,American
10805142,Justice Henderson,20955,Houston,American
16310381,Sydney Hawkins,21311,Rutgers,American
14399216,Jordanae Scott,21377,Southern Methodist,American
10889719,Chelsea Francis,21377,Southern Methodist,American
16315651,Ani Wells,20717,Central Florida,American
17561379,Jada Laye,21377,Southern Methodist,American
17561344,Leiya Green,20717,Central Florida,American
14432442,Icisys Sadler,21311,Rutgers,American
17578965,Dennisha Page,21311,Rutgers,American
5029205,Samiyah Samuels,20955,Houston,American
15053699,Ajae Alvarez-Tyler,21311,Rutgers,American
16298645,Taylor Bennett,20955,Houston,American
17565480,Taja Booker,21093,Memphis,American
12555522,Ariele Adams,20955,Houston,American
17547679,Kennedy Crutchfield,20955,Houston,American
17565475,Khaide'a Brown,21093,Memphis,American
17083304,Aliyah Harrison,21311,Rutgers,American
17920740,Kaitlin Salisbury,21311,Rutgers,American
17595960,Lauren Greig,21447,Temple,American
17920741,Kameron Scille,21311,Rutgers,American
17842956,Jewel Ofotan,21447,Temple,American
17557140,Jaelynn Williams,21051,Louisville,American
12537939,Mallorie Smith,21447,Temple,American
14307115,Marissa White,21447,Temple,American
17561338,Khacia Mitchell,20955,Houston,American
17561366,Tannekee Strachan,21447,Temple,American
14401466,Olivia Mars,21377,Southern Methodist,American
14414479,Tamar Accius,21294,Richmond,Atlantic 10
14308665,Xiana Twombly,21288,Rhode Island,Atlantic 10
16298794,Kyla Hill,20878,Fordham,Atlantic 10
16210733,Kamryn Ross,21294,Richmond,Atlantic 10
14414480,Tania Matthews,21294,Richmond,Atlantic 10
10798082,Aliyah Stokes,21407,St Joseph's (PA),Atlantic 10
13755002,Julia Campezato,21288,Rhode Island,Atlantic 10
17790587,Maddie Andorf,21409,Saint Louis U,Atlantic 10
17842995,Sydney Rose,21407,St Joseph's (PA),Atlantic 10
14316988,Bailey Hasken,21409,Saint Louis U,Atlantic 10
16203583,Sydney Sutton,21288,Rhode Island,Atlantic 10
14309227,Ginika Nkwonta,21407,St Joseph's (PA),Atlantic 10
16271676,Ruby Avila,20878,Fordham,Atlantic 10
17799590,Skylar Harris,20878,Fordham,Atlantic 10
17790597,Jaila Robinson,21409,Saint Louis U,Atlantic 10
16197788,Jala Cosley,21407,St Joseph's (PA),Atlantic 10
17799602,Elianna Bland,20878,Fordham,Atlantic 10
10859710,Rebekah Smith,20751,Clemson,Atlantic Coast (ACC)
12612739,Alfreda Steele,21100,Miami (FL),Atlantic Coast (ACC)
12633883,Ka'Tia Seymour,20876,Florida State,Atlantic Coast (ACC)
12633873,Halle Hazzard,21507,Virginia,Atlantic Coast (ACC)
17594065,Ashley Seymour,20876,Florida State,Atlantic Coast (ACC)
10548654,Brittany Aveni,20831,Duke,Atlantic Coast (ACC)
17831973,Shian Hyde,20876,Florida State,Atlantic Coast (ACC)
17548288,Kayla Bonnick,21507,Virginia,Atlantic Coast (ACC)
16283730,Jacious Sears,21100,Miami (FL),Atlantic Coast (ACC)
17838219,Elena Brown-soler,20831,Duke,Atlantic Coast (ACC)
14327248,Zeniyah Lawrence,20751,Clemson,Atlantic Coast (ACC)
12617951,Kennedy Dennis,21510,Virginia Tech,Atlantic Coast (ACC)
14387611,Kelcie Simmons,20831,Duke,Atlantic Coast (ACC)
12973344,Khyasia Caldwell,21507,Virginia,Atlantic Coast (ACC)
17541752,Hailey Williams,20831,Duke,Atlantic Coast (ACC)
16203301,Anna Witherspoon,20903,Georgia Tech,Atlantic Coast (ACC)
17557156,Akira Rhodes,21190,North Carolina State,Atlantic Coast (ACC)
17548294,Makhia Jarrett,21510,Virginia Tech,Atlantic Coast (ACC)
12602363,Sidney Marshall,20751,Clemson,Atlantic Coast (ACC)
16280950,Carly King,20831,Duke,Atlantic Coast (ACC)
16280957,Maya Provencal,20831,Duke,Atlantic Coast (ACC)
16293656,Ally Henson,21190,North Carolina State,Atlantic Coast (ACC)
17547563,Imunique Archie,21190,North Carolina State,Atlantic Coast (ACC)
14308682,Emma Kinney,20667,Boston College,Atlantic Coast (ACC)
