ID,Name,School_ID,School,Division
12540940,Mallory Prelewicz,20661,Binghamton,America East
14308652,Samantha Martinez,20591,Albany,America East
12540793,Jordan Hoffman,21176,New Hampshire,America East
16204866,Taylor Nydam,21176,New Hampshire,America East
17659311,Sarah Morin,21176,New Hampshire,America East
14309644,Oliviah Damboise,21062,Maine,America East
12540939,Alexandra Guardo,20661,Binghamton,America East
17848610,Caroline Fatta,20661,Binghamton,America East
16200163,Rachel Roof,20661,Binghamton,America East
14400851,Aliyah Welter,21051,Louisville,American
16284018,Auriane Viola,21051,Louisville,American
8984958,Stephanie Lambeth,21367,South Florida,American
12539439,Gabriela Leon,21051,Louisville,American
12555514,Sarah Howe,20955,Houston,American
17546175,Ka'leila Abrille,21311,Rutgers,American
17547684,Rachel Maciesjeski,20955,Houston,American
17555501,Melanie Prieto,20955,Houston,American
16205499,Madeline Patino,20955,Houston,American
8984956,Nicole Carroll,21367,South Florida,American
12555517,Dana Pollack,20955,Houston,American
12555491,Olivia Winterkamp,20955,Houston,American
16203626,Sydney Shannon,21288,Rhode Island,Atlantic 10
17589862,Caroline Larkin,21288,Rhode Island,Atlantic 10
17799614,Tara Coyne,20878,Fordham,Atlantic 10
17799626,Julia Cianflone,20878,Fordham,Atlantic 10
12617973,Rachel Baxter,21510,Virginia Tech,Atlantic Coast (ACC)
14402707,Olivia Moore,20903,Georgia Tech,Atlantic Coast (ACC)
17838222,Julia Venti,20831,Duke,Atlantic Coast (ACC)
12633382,Emerson Porter,21187,North Carolina,Atlantic Coast (ACC)
16299427,Maya Maloney,21507,Virginia,Atlantic Coast (ACC)
16283804,MacKenzie Gignilliat,20903,Georgia Tech,Atlantic Coast (ACC)
16283819,Jazmyn Dennis,20876,Florida State,Atlantic Coast (ACC)
17541756,Brynn King,20831,Duke,Atlantic Coast (ACC)
17548300,Emily Connor,21510,Virginia Tech,Atlantic Coast (ACC)
16299429,Riley Larsen,21507,Virginia,Atlantic Coast (ACC)
17613166,McKenna Brunick,21187,North Carolina,Atlantic Coast (ACC)
14387612,Elaina Roeder,21517,Wake Forest,Atlantic Coast (ACC)
16203332,Jessica Brewer,20751,Clemson,Atlantic Coast (ACC)
10880720,Louisa Washburn,21199,North Florida,Atlantic Sun
14402693,Tyra Finkeldey,20643,Belmont,Atlantic Sun
12663444,Jada Smith,21002,Kennesaw State,Atlantic Sun
17546194,Brianna Bailey,21002,Kennesaw State,Atlantic Sun
17900048,Caleigh Furyk,20643,Belmont,Atlantic Sun
12553018,Anna Watson,20972,Indiana (IN),Big 10
12537325,Sophia Franklin,21103,Michigan State,Big 10
12617943,Katie Jones,21255,Penn State,Big 10
17546612,Tia Dorshorst,21576,Wisconsin,Big 10
14408174,Jessica Mercier,21102,Michigan,Big 10
16206749,Jessica Bray,21274,Purdue,Big 10
12553030,Tessa Sheets,21274,Purdue,Big 10
16201085,Hailey Zurich,21255,Penn State,Big 10
10879635,Andrianna Jacobs,21169,Nebraska,Big 10
14396600,Hailey Orlowski,21576,Wisconsin,Big 10
10788560,Carolyn Nye,20966,Illinois,Big 10
12091854,Jessica Gardner,21169,Nebraska,Big 10
17590045,Mia Manson,21102,Michigan,Big 10
14307061,Carena Nottoli,21255,Penn State,Big 10
16683392,Jess Streepy,20966,Illinois,Big 10
12616297,Alyssa Morello,20966,Illinois,Big 10
14327902,Kara Deady,20972,Indiana (IN),Big 10
17547914,Brianna Bredeweg,21102,Michigan,Big 10
16310007,Erica Ellis,21255,Penn State,Big 10
17548544,Alexys Berger,21117,Minnesota,Big 10
12094222,Calli Ostapowicz,21103,Michigan State,Big 10
17548531,Sam Spencer,21117,Minnesota,Big 10
17547937,Abigail Kuhn,21230,Ohio State,Big 10
16220377,Lauren Seaver,20972,Indiana (IN),Big 10
16695879,AnneMarie Moses,21230,Ohio State,Big 10
12648076,Kristin Slaughter,20966,Illinois,Big 10
17555224,Morgan Flynn,21102,Michigan,Big 10
17575818,Kelsey Rothas,20966,Illinois,Big 10
14401362,Josie Held,20966,Illinois,Big 10
16711597,Noelle Jones,20966,Illinois,Big 10
16711969,Cate Visscher,21102,Michigan,Big 10
12616302,Nicole Cho,20966,Illinois,Big 10
16206755,Lindsay Absher,21274,Purdue,Big 10
18062355,Marisa DiGia,21078,Maryland,Big 10
12615982,Tuesdi Tidwell,20641,Baylor,Big 12
14412483,Samantha Van Hoecke,20996,Kansas,Big 12
12615964,Chloe Wall,21461,Texas Tech,Big 12
16209834,Ariadni Adamopoulou,21235,Oklahoma State,Big 12
14392560,Chinne Okoronkwo,21461,Texas Tech,Big 12
14392566,Ryleigh Redding,21461,Texas Tech,Big 12
17546728,Alex Kubicek,20641,Baylor,Big 12
16310202,Sarah Tackitt,21461,Texas Tech,Big 12
9131180,Sydney King,21232,Oklahoma,Big 12
14395192,Olivia Buntin,21452,Texas,Big 12
12612125,Khristen Bryant,20996,Kansas,Big 12
17548438,Taylor Starkey,20996,Kansas,Big 12
14392580,Colleen Clancy,21232,Oklahoma,Big 12
17594211,Anna Griffith,21461,Texas Tech,Big 12
17554359,Elissa Ray,21235,Oklahoma State,Big 12
12612782,Abby Bilsbury,21232,Oklahoma,Big 12
14392558,Allyn Tyer,21461,Texas Tech,Big 12
12615988,Tiffani Peacock,20641,Baylor,Big 12
16225334,Jessica Williams,20998,Kansas State,Big 12
15071822,Madelyn Agnew,20641,Baylor,Big 12
16321590,Rylie Smith,20641,Baylor,Big 12
14399661,Ashley Preston,21505,Villanova,Big East
12545418,Cala Lejman,21505,Villanova,Big East
12536939,Brielle Buechler,21072,Marquette,Big East
17799589,Meghan Ladd,21405,St John's (NY),Big East
12552219,Gabriela Kelly,21405,St John's (NY),Big East
16280372,Savannah Schultz,20848,Eastern Washington,Big Sky
14430609,Morgan Fossen,20848,Eastern Washington,Big Sky
12542881,Katrina Terry,20848,Eastern Washington,Big Sky
12544907,Jessica Swannack,20965,Idaho State,Big Sky
12544904,Brooke Anger,20965,Idaho State,Big Sky
16261616,Rosalie Folger-Vent,20848,Eastern Washington,Big Sky
16280332,Louise Lallement,20965,Idaho State,Big Sky
10946271,Hally Ruff,20848,Eastern Washington,Big Sky
10874324,Alexandra Hellenberg,21142,Montana State,Big Sky
14231999,Lindsay Jones,20965,Idaho State,Big Sky
17920054,Katelyn Anderson,20965,Idaho State,Big Sky
10205108,Sierra Kiser,20965,Idaho State,Big Sky
16213607,Maisee Brown,21142,Montana State,Big Sky
12618357,Alana Dickson,21314,Sacramento State,Big Sky
17548292,Sydney Horn,20945,High Point,Big South
12633662,Nathalie Elliott,20945,High Point,Big South
14795456,Mackenzie Horn,20945,High Point,Big South
14400893,Taylen Langin,21033,Liberty,Big South
14310567,Louise Schmidtgen,20894,Gardner-Webb,Big South
17574404,Marisa Bermudez,21033,Liberty,Big South
14414496,McKenna Dunn,21513,VMI,Big South
17555951,Rachel Vesper,20945,High Point,Big South
12633700,Jessica Keys,20945,High Point,Big South
16119004,Naomi Armstrong,21033,Liberty,Big South
16210181,Sophia Smith,20894,Gardner-Webb,Big South
16316280,Emma Grace,20945,High Point,Big South
17555975,Nanah Fung Loy,21033,Liberty,Big South
17659018,Daphne Bogert,21191,North Carolina-Asheville,Big South
17659003,Elizabeth Barnett,21575,Winthrop,Big South
14401972,Katie Bond,20755,Coastal Carolina,Big South
17743430,Skyela Amsberry,20894,Gardner-Webb,Big South
12821450,Brooke Tjerrild,20694,Cal Poly SLO,Big West
11833548,Bianca Becker,21485,UC Davis,Big West
12821426,Kayla Myers,20694,Cal Poly SLO,Big West
11102474,Sydney Jaques,20694,Cal Poly SLO,Big West
14614452,Katrina Meier,21485,UC Davis,Big West
17742318,Roxanne Nolan,20694,Cal Poly SLO,Big West
12911185,Kyra Sales,21489,UC Santa Barbara,Big West
14399229,Jazmine Haratani,21489,UC Santa Barbara,Big West
16314735,Layne Hayward,21489,UC Santa Barbara,Big West
16388644,Erika Flaherty,20790,CS Fullerton,Big West
13864702,Kyla Meyer,21044,Long Beach State,Big West
16382583,Mikayla Ray,21044,Long Beach State,Big West
12911188,Julia Wang,21489,UC Santa Barbara,Big West
16833735,Ciera Muscarella,21044,Long Beach State,Big West
16689968,Caroline Au,21485,UC Davis,Big West
