ID,Name,School_ID,School,Division
16200500,Jasmine Holland,21079,Maryland-Baltimore County,America East
12540879,Brittany Korsah,20661,Binghamton,America East
16200244,Grace Young,20661,Binghamton,America East
17799622,Rebeca Barrientos Alpha,20591,Albany,America East
12540845,Nia Joyner,20661,Binghamton,America East
12540823,Anna Schumann,21062,Maine,America East
16200194,Mallorie Turner,20661,Binghamton,America East
14309644,Oliviah Damboise,21062,Maine,America East
16204870,Emma White,21062,Maine,America East
16204848,Grace Minkin,21062,Maine,America East
16200270,Samantha Tricozzi,20661,Binghamton,America East
14309672,Alainna Sharp,21062,Maine,America East
17848601,Laila Gedeon,20661,Binghamton,America East
17659305,Mia Taranko,21176,New Hampshire,America East
16200428,Deja Ravenell,21079,Maryland-Baltimore County,America East
16298622,Destiny Lawrence,20955,Houston,American
16283853,Kiara Lee,20717,Central Florida,American
17561354,Asherah Collins,20717,Central Florida,American
16310380,Claudine Smith,21311,Rutgers,American
17561366,Tannekee Strachan,21447,Temple,American
18330412,Morgan Bentley,21051,Louisville,American
12612146,Atipa Mabonga,21377,Southern Methodist,American
17071977,Anastasia Bampali,21093,Memphis,American
14402027,Arielle Boone,21367,South Florida,American
8992646,Nicole Lawson,21093,Memphis,American
14384183,Christian Hill,21093,Memphis,American
14390894,Zia Barr,21311,Rutgers,American
18062354,Kristina Tossas,21311,Rutgers,American
17842971,Mariah Hubbard,21447,Temple,American
12538642,Katie Wissing,21409,Saint Louis U,Atlantic 10
12548527,Gabby Holmberg,20833,Duquesne,Atlantic 10
12548491,Caroline Billone,20833,Duquesne,Atlantic 10
16210755,Morgan Crocker,21294,Richmond,Atlantic 10
14309300,Jade Dyer-Kennedy,20878,Fordham,Atlantic 10
14317006,Susan D'Onofrio,21409,Saint Louis U,Atlantic 10
12643271,Kayla Ezeama,21288,Rhode Island,Atlantic 10
17987330,Katie Madore,21288,Rhode Island,Atlantic 10
16197915,Clare Staudenmeier,21407,St Joseph's (PA),Atlantic 10
12602345,Harleigh White,20751,Clemson,Atlantic Coast (ACC)
12538233,Michelle Cobb,21190,North Carolina State,Atlantic Coast (ACC)
17557271,Ashley Moore,21100,Miami (FL),Atlantic Coast (ACC)
16283731,Taylor Wright,21100,Miami (FL),Atlantic Coast (ACC)
10879443,Brianna Isles,21187,North Carolina,Atlantic Coast (ACC)
8995386,Bria Matthews,20903,Georgia Tech,Atlantic Coast (ACC)
14393549,Zoe Rice,21507,Virginia,Atlantic Coast (ACC)
17548295,Nadia Saunders,21507,Virginia,Atlantic Coast (ACC)
16203692,Isabella Bruno,20667,Boston College,Atlantic Coast (ACC)
16280912,Hailey Huston Myles,20702,Campbell,Atlantic Sun
16282735,Morgan Louderback,20643,Belmont,Atlantic Sun
10859419,Leah Moran,20972,Indiana (IN),Big 10
17555001,Tiera Robinson-Jones,21117,Minnesota,Big 10
12621639,Ieva Turke,21169,Nebraska,Big 10
10858950,Leah Blackall,21078,Maryland,Big 10
17594116,Eavion Richardson,20979,Iowa,Big 10
17541723,Kayla Hutchins,20979,Iowa,Big 10
14389700,Cierra Pyles,21230,Ohio State,Big 10
17547899,Mahogany Jenkins,20972,Indiana (IN),Big 10
17547917,Hannah Waller,21102,Michigan,Big 10
14408198,Zionn Pearson,21169,Nebraska,Big 10
16316941,Ashley McElmurry,21169,Nebraska,Big 10
17576126,Deborah Obadofin,21274,Purdue,Big 10
14306987,Cecelia Bacon,21255,Penn State,Big 10
17546608,Diamond Black,21576,Wisconsin,Big 10
16284003,Vinajah Adderley,21274,Purdue,Big 10
17555220,Shanna Esters,20972,Indiana (IN),Big 10
16310201,Ruth Usoro,21461,Texas Tech,Big 12
14451383,Deborah Acquah,21453,Texas A&amp;M,Big 12
16225340,Mikeisha Welcome,21232,Oklahoma,Big 12
12612826,Essence Thomas,21232,Oklahoma,Big 12
14402361,Sophia Falco,21452,Texas,Big 12
17548432,Chantoba Bright,20998,Kansas State,Big 12
14326793,Arianna Fisher,21128,Missouri,Big 12
16220755,Mara Hausler,21128,Missouri,Big 12
17547336,Lamara Distin,21453,Texas A&amp;M,Big 12
16209781,Saara Hakanen,21235,Oklahoma State,Big 12
17548434,Rhianna Phipps,20998,Kansas State,Big 12
16209848,Victoria Gorlova,20996,Kansas,Big 12
14392579,Allanah Lee,21232,Oklahoma,Big 12
12615983,Alex Madlock,20641,Baylor,Big 12
12615946,Chelsey Cole,21461,Texas Tech,Big 12
14392560,Chinne Okoronkwo,21461,Texas Tech,Big 12
10872924,Konstantina Romaiou,20998,Kansas State,Big 12
16302040,Koi Johnson,20641,Baylor,Big 12
17546760,Monae' Nichols,21461,Texas Tech,Big 12
17557263,Kennedy Adams,21461,Texas Tech,Big 12
12553000,Jalaiya Bartley,20981,Iowa State,Big 12
12612791,Nura Muhammad,21232,Oklahoma,Big 12
10805162,Lajarvia Brown,21453,Texas A&amp;M,Big 12
17546776,Michelle Graham,21452,Texas,Big 12
10805153,Ciynamon Stevenson,21453,Texas A&amp;M,Big 12
12553955,Ryan Roane,21235,Oklahoma State,Big 12
10880453,Jacinta Fisher,20641,Baylor,Big 12
14424492,Saudia Heard,20996,Kansas,Big 12
12565905,Cheyenne Cheshier,20765,Colorado,Big 12
17561924,Sarah Aanenson,20765,Colorado,Big 12
16210080,Myesha Nott,21540,West Virginia,Big East
17576721,Koryn Jozwiskowski,21261,Pittsburgh,Big East
14349158,Amanda Belgrave,21405,St John's (NY),Big East
17799641,Ioanna Kyprianou,21405,St John's (NY),Big East
17777305,Carla Nicosia,21142,Montana State,Big Sky
14401853,Jenna Figueroa,21204,Northern Arizona,Big Sky
10874324,Alexandra Hellenberg,21142,Montana State,Big Sky
16200948,Jade Cany,21326,San Diego State,Big Sky
16330314,Alexia Croffet,21314,Sacramento State,Big Sky
17556089,Courtney Wiesenberger,21204,Northern Arizona,Big Sky
16278403,Kenashalee Kerr,21204,Northern Arizona,Big Sky
16213645,A'Lena Chaney,21142,Montana State,Big Sky
14312667,Twila Reovan,21142,Montana State,Big Sky
16302557,Lily Margolis,21204,Northern Arizona,Big Sky
12467448,Brianna VanVleet,20965,Idaho State,Big Sky
16278404,Kenya Coburn,21204,Northern Arizona,Big Sky
17558254,Whitney Lords,20965,Idaho State,Big Sky
17777316,Yna Cruz,21314,Sacramento State,Big Sky
16261616,Rosalie Folger-Vent,20848,Eastern Washington,Big Sky
14400892,Makenzy Mizera,21033,Liberty,Big South
17646381,Lizbeth Joseph,21033,Liberty,Big South
17547538,Kayla Ulmer,20755,Coastal Carolina,Big South
14400887,Adrianna Mitchell,21033,Liberty,Big South
16280931,Alicia Dawson,20945,High Point,Big South
14310560,Claudia Prieto,21191,North Carolina-Asheville,Big South
12615855,Tamara Damjanovic,20731,Charleston Southern,Big South
17563570,Mycal Bowser,20755,Coastal Carolina,Big South
16328121,Emma Arblaster,21033,Liberty,Big South
17919972,Sameerah Evans,20792,CS Northridge,Big West
18015956,Crystal Washington,21044,Long Beach State,Big West
18015954,Ty Wallace,20790,CS Fullerton,Big West
14670915,Samantha Louie,21485,UC Davis,Big West
17683096,Kerrington Smith,21485,UC Davis,Big West
17777330,Amanda Mell,21485,UC Davis,Big West
17742311,Karina Moreland,20694,Cal Poly SLO,Big West
14401829,Lorraine Nance,21486,UC Irvine,Big West
12821144,Sydney Holmes,21485,UC Davis,Big West
16296596,Mariana Lanz,21489,UC Santa Barbara,Big West
14401828,Purnima Gunarathna,21487,UC Riverside,Big West
12898948,Hanna Coloma,21486,UC Irvine,Big West
14447148,Micayla Kelly,21044,Long Beach State,Big West
16296595,Keily Sharp,21489,UC Santa Barbara,Big West
15022379,Citlali Pichardo,21486,UC Irvine,Big West
10873934,Michelle Fokam,21292,Rice,C-USA
14306330,Trina Malej,21481,Tulane,C-USA
17776974,Maryam Hassan,21292,Rice,C-USA
14306410,Shauntia Landrum,20588,Alabama-Birmingham,C-USA
17613894,Ginikanwa Okafor,21292,Rice,C-USA
12765372,Jordyn Lesh,21481,Tulane,C-USA
17547666,Migle Muraskaite,21481,Tulane,C-USA
14736684,Teesa Mpagi,21292,Rice,C-USA
12666421,Marie-Antoinette Gaspard,65666,Old Dominion University,C-USA
12552147,Skyla Davidson,20989,James Madison,Colonial (CAA)
16199202,Victoria Whimple,21195,North Carolina-Wilmington,Colonial (CAA)
12634933,Taylor Jones,21564,William &amp; Mary,Colonial (CAA)
17595818,Jordan Venning,20989,James Madison,Colonial (CAA)
17548350,Kelsey Sebwe,20897,George Mason,Colonial (CAA)
17695530,Jayda Hunter,21195,North Carolina-Wilmington,Colonial (CAA)
14311109,Julianna Cavanagh,21195,North Carolina-Wilmington,Colonial (CAA)
16259776,Dhiambi Otete,20897,George Mason,Colonial (CAA)
14414461,Kyla Harris,20897,George Mason,Colonial (CAA)
16386231,Tasheba Pleasant,28394,Houston Baptist,Great West
17851432,Kamberlyn Lamer,21364,South Dakota,Great West
12711744,LiShaun Wilson,20735,Chicago State,Great West
14395093,Zarrey Sams,21464,Texas-Rio Grande Valley,Great West
17549170,Sydney Dennis,21497,Utah Valley University,Great West
17562004,Estrella Medellin,21464,Texas-Rio Grande Valley,Great West
12539794,Sara Ohlwiler,21497,Utah Valley University,Great West
18051180,Mckinleigh Mattie,21179,New Jersey Tech,Great West
17842979,Tamara Grahovac,21254,Penn,Heps
16206193,Jacinta Arnold,21254,Penn,Heps
17545861,Nia Williams-Mathews,21602,Youngstown State,Horizon
17595189,Stephanie Simon,21602,Youngstown State,Horizon
17547565,Da'Aliyah Johnson,21339,Savannah State,Independent
17652631,Taliyah Sumter,21339,Savannah State,Independent
10794424,Lindsay Bauer,21295,Rider,Metro Atlantic (MAAC)
16204229,Lorretta Owoh,21416,St Peter's,Metro Atlantic (MAAC)
14322640,Samantha Butler,21295,Rider,Metro Atlantic (MAAC)
16200933,Isjae Wright,21295,Rider,Metro Atlantic (MAAC)
14332462,Iria Paz,21416,St Peter's,Metro Atlantic (MAAC)
16200934,Nakia Watson,21295,Rider,Metro Atlantic (MAAC)
16199911,Hannah Harrington,21065,Manhattan,Metro Atlantic (MAAC)
17799594,Laurah Perrin,21065,Manhattan,Metro Atlantic (MAAC)
17575210,Fegor Clifford,20584,Akron,Mid-American (MAC)
